epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,54.2837,1.45951,2.16739,1.25901,0.81824,0.8128,0.86936,0.49701,1.42275,1.19893,1.34876,0.000661247,0.000661247,0.000661247
2,105.43,1.50842,1.11013,1.29871,0.88151,0.82659,0.89177,0.5264,1.45345,1.24764,1.33658,0.00131477,0.00131477,0.00131477
3,159.133,1.56107,1.18198,1.33342,0.61132,0.34952,0.36615,0.20182,2.06457,2.71134,2.51048,0.00195509,0.00195509,0.00195509
4,212.764,1.50953,1.13742,1.3305,0.85569,0.82357,0.87666,0.54379,1.41632,1.02181,1.34086,0.0019406,0.0019406,0.0019406
5,266.58,1.49344,1.0391,1.32537,0.81263,0.81597,0.85906,0.51064,1.46224,1.04156,1.29766,0.0019208,0.0019208,0.0019208
6,319.371,1.52222,1.03589,1.34159,0.8957,0.80556,0.883,0.51287,1.45864,1.15503,1.35152,0.001901,0.001901,0.001901
7,373.402,1.4679,0.96297,1.34158,0.90687,0.86458,0.92967,0.5617,1.37904,0.87507,1.34371,0.0018812,0.0018812,0.0018812
8,427.397,1.48535,0.93717,1.33936,0.90415,0.88542,0.93419,0.57049,1.35759,0.92356,1.25981,0.0018614,0.0018614,0.0018614
9,481.353,1.41535,0.90835,1.28799,0.92206,0.86268,0.92854,0.54851,1.43048,0.79458,1.33258,0.0018416,0.0018416,0.0018416
10,536.309,1.39961,0.8814,1.2764,0.91321,0.85069,0.92841,0.58176,1.35792,0.82696,1.24048,0.0018218,0.0018218,0.0018218
11,589.871,1.39922,0.87728,1.28282,0.89714,0.88194,0.93944,0.58211,1.3044,0.77455,1.24018,0.001802,0.001802,0.001802
12,644.154,1.38556,0.83349,1.24514,0.9388,0.85227,0.93211,0.57275,1.38069,0.78194,1.29059,0.0017822,0.0017822,0.0017822
13,696.991,1.38702,0.84009,1.2813,0.93558,0.90769,0.94711,0.61543,1.28684,0.75608,1.25909,0.0017624,0.0017624,0.0017624
14,751.007,1.34583,0.81761,1.25355,0.94717,0.87161,0.93578,0.58523,1.32111,0.78994,1.20789,0.0017426,0.0017426,0.0017426
15,804.44,1.35157,0.81322,1.24045,0.92367,0.88231,0.94407,0.61638,1.2925,0.7258,1.24339,0.0017228,0.0017228,0.0017228
16,857.465,1.34111,0.80806,1.23638,0.94538,0.89583,0.9467,0.60972,1.28919,0.72757,1.23541,0.001703,0.001703,0.001703
17,911.015,1.31822,0.80569,1.24185,0.93763,0.90972,0.93949,0.60001,1.28833,0.71282,1.24662,0.0016832,0.0016832,0.0016832
18,963.794,1.27367,0.74815,1.20635,0.93003,0.92311,0.95266,0.60615,1.28176,0.70346,1.22239,0.0016634,0.0016634,0.0016634
19,1017.76,1.30478,0.74883,1.21654,0.94912,0.9068,0.95117,0.6048,1.27948,0.6928,1.21329,0.0016436,0.0016436,0.0016436
20,1069.52,1.26282,0.74513,1.22098,0.94409,0.92014,0.94817,0.61359,1.25392,0.68648,1.2193,0.0016238,0.0016238,0.0016238
21,1122.01,1.2898,0.7385,1.23359,0.95347,0.92503,0.96243,0.6273,1.28312,0.68495,1.21241,0.001604,0.001604,0.001604
22,1174.45,1.30196,0.75525,1.2337,0.95651,0.91644,0.95548,0.61145,1.27136,0.68442,1.21312,0.0015842,0.0015842,0.0015842
23,1226.09,1.24569,0.70546,1.16277,0.92236,0.94444,0.96422,0.64091,1.24429,0.63,1.18912,0.0015644,0.0015644,0.0015644
24,1280.61,1.25242,0.69401,1.19392,0.96382,0.92488,0.96756,0.64755,1.23421,0.61279,1.17848,0.0015446,0.0015446,0.0015446
25,1333.99,1.23973,0.69199,1.22052,0.93913,0.92361,0.95977,0.60516,1.27547,0.64532,1.24493,0.0015248,0.0015248,0.0015248
26,1386.64,1.26244,0.70773,1.21529,0.90791,0.93056,0.95055,0.62154,1.24726,0.64684,1.20662,0.001505,0.001505,0.001505
27,1438.54,1.22395,0.69718,1.18197,0.94628,0.93056,0.95995,0.63204,1.23691,0.62247,1.21048,0.0014852,0.0014852,0.0014852
28,1490.29,1.24791,0.6951,1.19353,0.94495,0.90972,0.95496,0.63109,1.20706,0.63629,1.20095,0.0014654,0.0014654,0.0014654
